time,distance,filtered,setpoint,error,control,beam_angle
0.0,6.0,6.0,33.0,0.0,100.0,0.21
0.034,6.0,6.0,33.0,0.0,100.0,0.21
0.068,6.0,6.0,33.0,0.0,100.0,0.21
0.102,6.0,6.0,33.0,0.0,100.0,0.21
0.136,6.0,6.0,33.0,0.0,100.0,0.21
0.17,6.0,6.0,33.0,0.0,100.0,0.21
0.204,6.0,6.0,33.0,0.0,100.0,0.21
0.238,6.0,6.0,33.0,0.0,100.0,0.21
0.272,6.0,6.0,33.0,0.0,100.0,0.21
0.306,6.0,6.0,33.0,0.0,100.0,0.21
0.34,6.0,6.0,33.0,0.0,100.0,0.21
0.374,6.0,6.0,33.0,0.0,100.0,0.21
0.408,6.0,6.0,33.0,0.0,100.0,0.21
0.442,6.0,6.0,33.0,0.0,100.0,0.21
0.476,6.0,6.0,33.0,0.0,100.0,0.21
0.51,6.0,6.0,33.0,0.0,100.0,0.21
0.544,6.0,6.0,33.0,0.0,100.0,0.21
0.578,6.0,6.0,33.0,0.0,100.0,0.21
0.612,6.0,6.0,33.0,0.0,100.0,0.21
0.646,6.0,6.0,33.0,0.0,100.0,0.21
0.68,6.0,6.0,33.0,0.0,100.0,0.21
0.714,6.0,6.0,33.0,0.0,100.0,0.21
0.748,6.0,6.0,33.0,0.0,100.0,0.21
0.782,6.0,6.0,33.0,0.0,100.0,0.21
0.816,6.0,6.0,33.0,0.0,100.0,0.21
0.85,6.0,6.0,33.0,0.0,115.0,0.21
0.884,6.0,6.0,33.0,0.0,115.0,0.21
0.918,6.0,6.0,33.0,0.0,115.0,0.21
0.952,6.0,6.0,33.0,0.0,115.0,0.21
0.986,6.0,6.0,33.0,0.0,115.0,0.21
1.02,7.0,7.0,33.0,0.0,115.0,0.21
1.054,6.0,6.0,33.0,0.0,115.0,-2.1
1.088,6.0,6.0,33.0,0.0,115.0,-2.1
1.122,8.0,7.0,33.0,0.0,115.0,-2.31
1.156,11.0,10.0,33.0,0.0,115.0,-2.31
1.19,11.0,10.0,33.0,0.0,115.0,-2.31
1.224,14.0,13.0,33.0,0.0,115.0,-2.31
1.258,14.0,13.0,33.0,0.0,115.0,-2.31
1.292,14.0,14.0,33.0,0.0,115.0,-2.31
1.326,14.0,14.0,33.0,0.0,115.0,-2.31
1.36,21.0,19.0,33.0,0.0,115.0,-2.31
1.394,23.0,22.0,33.0,0.0,115.0,-2.31
1.428,23.0,23.0,33.0,0.0,115.0,-2.31
1.462,30.0,28.0,33.0,0.0,115.0,-2.31
1.496,37.0,34.0,33.0,0.0,115.0,-2.31
1.53,37.0,36.0,33.0,0.0,115.0,-2.31
1.564,45.0,42.0,33.0,0.0,115.0,-2.31
1.598,45.0,44.0,33.0,0.0,115.0,-2.31
1.632,54.0,51.0,33.0,0.0,115.0,-2.31
1.666,54.0,53.0,33.0,0.0,115.0,-2.31
1.7,63.0,60.0,33.0,0.0,115.0,-2.31
1.734,63.0,62.0,33.0,0.0,115.0,-2.31
1.768,73.0,70.0,33.0,0.0,115.0,-2.31
1.802,78.0,76.0,33.0,0.0,115.0,-2.31
1.836,78.0,78.0,33.0,0.0,115.0,-2.31
1.87,78.0,78.0,33.0,0.0,115.0,-2.31
1.904,96.0,91.0,33.0,0.0,115.0,-2.32
1.938,102.0,99.0,33.0,0.0,115.0,-2.32
1.972,102.0,101.0,33.0,0.0,115.0,-2.32
2.006,115.0,111.0,33.0,0.0,115.0,-2.32
2.04,122.0,119.0,33.0,0.0,115.0,-2.32
2.074,122.0,121.0,33.0,0.0,115.0,-2.32
2.108,136.0,131.0,33.0,0.0,115.0,-2.31
2.142,151.0,145.0,33.0,0.0,115.0,-2.31
2.176,151.0,149.0,33.0,0.0,115.0,-2.31
2.21,151.0,151.0,33.0,0.0,115.0,-2.31
2.244,167.0,162.0,33.0,0.0,115.0,-2.31
2.278,185.0,178.0,33.0,0.0,115.0,-2.32
2.312,185.0,183.0,33.0,0.0,115.0,-2.32
2.346,202.0,196.0,33.0,0.0,115.0,-2.31
2.38,202.0,200.0,33.0,0.0,115.0,-2.31
2.414,202.0,201.0,33.0,0.0,115.0,-2.31
2.448,220.0,214.0,33.0,0.0,115.0,-2.31
2.482,220.0,218.0,33.0,0.0,115.0,-2.31
2.516,220.0,219.0,33.0,0.0,115.0,-2.31
2.55,220.0,219.0,33.0,0.0,115.0,-2.31
2.584,232.0,228.0,33.0,0.0,115.0,-2.32
2.618,232.0,231.0,33.0,0.0,115.0,-2.32
2.652,232.0,232.0,33.0,0.0,115.0,-2.32
2.686,232.0,232.0,33.0,0.0,115.0,-2.32
2.72,232.0,232.0,33.0,0.0,115.0,-2.32
2.754,232.0,232.0,33.0,0.0,115.0,-2.32
2.788,233.0,233.0,33.0,0.0,115.0,-2.32
2.822,233.0,233.0,33.0,0.0,115.0,-2.32
2.856,233.0,233.0,33.0,0.0,115.0,-2.32
2.89,237.0,236.0,33.0,0.0,115.0,-2.32
2.924,237.0,236.0,33.0,0.0,115.0,-2.32
2.958,237.0,237.0,33.0,0.0,115.0,-2.32
2.992,243.0,241.0,33.0,0.0,115.0,-2.32
3.026,243.0,242.0,33.0,0.0,115.0,-2.32
3.06,243.0,243.0,33.0,0.0,115.0,-2.32
3.094,243.0,243.0,33.0,0.0,115.0,-2.32
3.128,244.0,243.0,33.0,0.0,115.0,-2.32
3.162,244.0,243.0,33.0,0.0,115.0,-2.32
3.196,243.0,243.0,33.0,0.0,115.0,-2.32
3.23,243.0,243.0,33.0,0.0,115.0,-2.32
