time,distance,filtered,setpoint,error,control,beam_angle
0.0,6.0,6.0,33.0,0.0,100.0,0.21
0.034,6.0,6.0,33.0,0.0,100.0,0.21
0.068,6.0,6.0,33.0,0.0,100.0,0.21
0.102,6.0,6.0,33.0,0.0,100.0,0.21
0.136,6.0,6.0,33.0,0.0,100.0,0.21
0.17,6.0,6.0,33.0,0.0,100.0,0.21
0.204,6.0,6.0,33.0,0.0,100.0,0.21
0.238,6.0,6.0,33.0,0.0,100.0,0.21
0.272,6.0,6.0,33.0,0.0,100.0,0.21
0.306,6.0,6.0,33.0,0.0,100.0,0.21
0.34,6.0,6.0,33.0,0.0,100.0,0.21
0.374,6.0,6.0,33.0,0.0,100.0,0.21
0.408,6.0,6.0,33.0,0.0,100.0,0.21
0.442,6.0,6.0,33.0,0.0,100.0,0.21
0.476,6.0,6.0,33.0,0.0,100.0,0.21
0.51,6.0,6.0,33.0,0.0,100.0,0.21
0.544,6.0,6.0,33.0,0.0,100.0,0.21
0.578,6.0,6.0,33.0,0.0,100.0,0.21
0.612,6.0,6.0,33.0,0.0,100.0,0.21
0.646,6.0,6.0,33.0,0.0,100.0,0.21
0.68,6.0,6.0,33.0,0.0,100.0,0.21
0.714,6.0,6.0,33.0,0.0,100.0,0.21
0.748,6.0,6.0,33.0,0.0,100.0,0.21
0.782,6.0,6.0,33.0,0.0,100.0,0.21
0.816,6.0,6.0,33.0,0.0,100.0,0.21
0.85,6.0,6.0,33.0,0.0,109.0,0.21
0.884,6.0,6.0,33.0,0.0,109.0,0.21
0.918,6.0,6.0,33.0,0.0,109.0,0.21
0.952,6.0,6.0,33.0,0.0,109.0,0.21
0.986,6.0,6.0,33.0,0.0,109.0,0.21
1.02,6.0,6.0,33.0,0.0,109.0,0.21
1.054,6.0,6.0,33.0,0.0,109.0,-0.95
1.088,6.0,6.0,33.0,0.0,109.0,-1.37
1.122,6.0,6.0,33.0,0.0,109.0,-1.37
1.156,8.0,7.0,33.0,0.0,109.0,-1.37
1.19,9.0,8.0,33.0,0.0,109.0,-1.37
1.224,9.0,9.0,33.0,0.0,109.0,-1.37
1.258,11.0,10.0,33.0,0.0,109.0,-1.37
1.292,11.0,11.0,33.0,0.0,109.0,-1.37
1.326,11.0,11.0,33.0,0.0,109.0,-1.37
1.36,15.0,14.0,33.0,0.0,109.0,-1.37
1.394,17.0,16.0,33.0,0.0,109.0,-1.37
1.428,17.0,17.0,33.0,0.0,109.0,-1.37
1.462,17.0,17.0,33.0,0.0,109.0,-1.37
1.496,20.0,19.0,33.0,0.0,109.0,-1.37
1.53,22.0,21.0,33.0,0.0,109.0,-1.37
1.564,22.0,22.0,33.0,0.0,109.0,-1.37
1.598,26.0,25.0,33.0,0.0,109.0,-1.37
1.632,31.0,29.0,33.0,0.0,109.0,-1.37
1.666,33.0,32.0,33.0,0.0,109.0,-1.37
1.7,33.0,33.0,33.0,0.0,109.0,-1.37
1.734,38.0,37.0,33.0,0.0,109.0,-1.37
1.768,41.0,40.0,33.0,0.0,109.0,-1.37
1.802,41.0,41.0,33.0,0.0,109.0,-1.37
1.836,47.0,45.0,33.0,0.0,109.0,-1.37
1.87,47.0,46.0,33.0,0.0,109.0,-1.37
1.904,47.0,46.0,33.0,0.0,109.0,-1.37
1.938,55.0,53.0,33.0,0.0,109.0,-1.37
1.972,58.0,57.0,33.0,0.0,109.0,-1.37
2.006,58.0,58.0,33.0,0.0,109.0,-1.37
2.04,65.0,63.0,33.0,0.0,109.0,-1.37
2.074,70.0,68.0,33.0,0.0,109.0,-1.47
2.108,70.0,69.0,33.0,0.0,109.0,-1.47
2.142,77.0,75.0,33.0,0.0,109.0,-1.37
2.176,77.0,76.0,33.0,0.0,109.0,-1.37
2.21,77.0,77.0,33.0,0.0,109.0,-1.37
2.244,90.0,86.0,33.0,0.0,109.0,-1.37
2.278,90.0,89.0,33.0,0.0,109.0,-1.37
2.312,90.0,90.0,33.0,0.0,109.0,-1.37
2.346,109.0,103.0,33.0,0.0,109.0,-1.37
2.38,114.0,111.0,33.0,0.0,109.0,-1.37
2.414,114.0,113.0,33.0,0.0,109.0,-1.37
2.448,114.0,114.0,33.0,0.0,109.0,-1.37
2.482,130.0,125.0,33.0,0.0,109.0,-1.37
2.516,130.0,128.0,33.0,0.0,109.0,-1.37
2.55,130.0,129.0,33.0,0.0,109.0,-1.37
2.584,146.0,141.0,33.0,0.0,109.0,-1.37
2.618,152.0,148.0,33.0,0.0,109.0,-1.37
2.652,152.0,151.0,33.0,0.0,109.0,-1.37
2.686,152.0,151.0,33.0,0.0,109.0,-1.37
2.72,163.0,159.0,33.0,0.0,109.0,-1.37
2.754,169.0,166.0,33.0,0.0,109.0,-1.37
2.788,169.0,168.0,33.0,0.0,109.0,-1.37
2.822,188.0,182.0,33.0,0.0,109.0,-1.37
2.856,188.0,186.0,33.0,0.0,109.0,-1.37
2.89,188.0,187.0,33.0,0.0,109.0,-1.37
2.924,207.0,201.0,33.0,0.0,109.0,-1.37
2.958,214.0,210.0,33.0,0.0,109.0,-1.37
2.992,214.0,213.0,33.0,0.0,109.0,-1.37
3.026,228.0,223.0,33.0,0.0,109.0,-1.37
3.06,228.0,227.0,33.0,0.0,109.0,-1.37
3.094,242.0,238.0,33.0,0.0,109.0,-1.37
3.128,242.0,241.0,33.0,0.0,109.0,-1.37
3.162,237.0,238.0,33.0,0.0,109.0,-1.37
3.196,237.0,237.0,33.0,0.0,109.0,-1.37
3.23,236.0,236.0,33.0,0.0,109.0,-1.37
