time,distance,filtered,setpoint,error,control,beam_angle
0.0,6.0,6.0,33.0,0.0,100.0,0.21
0.034,6.0,6.0,33.0,0.0,100.0,0.21
0.068,6.0,6.0,33.0,0.0,100.0,0.21
0.102,6.0,6.0,33.0,0.0,100.0,0.21
0.136,6.0,6.0,33.0,0.0,100.0,0.21
0.17,6.0,6.0,33.0,0.0,100.0,0.21
0.204,6.0,6.0,33.0,0.0,100.0,0.21
0.238,6.0,6.0,33.0,0.0,100.0,0.21
0.272,6.0,6.0,33.0,0.0,100.0,0.21
0.306,6.0,6.0,33.0,0.0,100.0,0.21
0.34,6.0,6.0,33.0,0.0,100.0,0.21
0.374,6.0,6.0,33.0,0.0,100.0,0.21
0.408,6.0,6.0,33.0,0.0,100.0,0.21
0.442,6.0,6.0,33.0,0.0,100.0,0.21
0.476,6.0,6.0,33.0,0.0,100.0,0.21
0.51,6.0,6.0,33.0,0.0,100.0,0.21
0.544,6.0,6.0,33.0,0.0,100.0,0.21
0.578,6.0,6.0,33.0,0.0,100.0,0.21
0.612,6.0,6.0,33.0,0.0,100.0,0.21
0.646,6.0,6.0,33.0,0.0,100.0,0.21
0.68,6.0,6.0,33.0,0.0,100.0,0.21
0.714,6.0,6.0,33.0,0.0,100.0,0.21
0.748,6.0,6.0,33.0,0.0,100.0,0.21
0.782,6.0,6.0,33.0,0.0,100.0,0.21
0.816,6.0,6.0,33.0,0.0,100.0,0.21
0.85,6.0,6.0,33.0,0.0,100.0,0.21
0.884,6.0,6.0,33.0,0.0,100.0,0.21
0.918,6.0,6.0,33.0,0.0,112.0,0.21
0.952,6.0,6.0,33.0,0.0,112.0,0.21
0.986,6.0,6.0,33.0,0.0,112.0,0.21
1.02,6.0,6.0,33.0,0.0,112.0,0.11
1.054,6.0,6.0,33.0,0.0,112.0,0.11
1.088,6.0,6.0,33.0,0.0,112.0,0.11
1.122,7.0,6.0,33.0,0.0,112.0,-1.79
1.156,7.0,7.0,33.0,0.0,112.0,-1.89
1.19,7.0,7.0,33.0,0.0,112.0,-1.89
1.224,7.0,7.0,33.0,0.0,112.0,-1.89
1.258,9.0,9.0,33.0,0.0,112.0,-1.89
1.292,9.0,9.0,33.0,0.0,112.0,-1.89
1.326,9.0,9.0,33.0,0.0,112.0,-1.89
1.36,13.0,12.0,33.0,0.0,112.0,-1.89
1.394,18.0,16.0,33.0,0.0,112.0,-1.89
1.428,18.0,17.0,33.0,0.0,112.0,-1.89
1.462,22.0,21.0,33.0,0.0,112.0,-1.89
1.496,25.0,24.0,33.0,0.0,112.0,-1.89
1.53,25.0,24.0,33.0,0.0,112.0,-1.89
1.564,31.0,29.0,33.0,0.0,112.0,-1.89
1.598,34.0,32.0,33.0,0.0,112.0,-1.89
1.632,37.0,36.0,33.0,0.0,112.0,-1.89
1.666,37.0,37.0,33.0,0.0,112.0,-1.89
1.7,45.0,42.0,33.0,0.0,112.0,-1.89
1.734,49.0,47.0,33.0,0.0,112.0,-1.89
1.768,49.0,48.0,33.0,0.0,112.0,-1.89
1.802,57.0,55.0,33.0,0.0,112.0,-1.89
1.836,62.0,59.0,33.0,0.0,112.0,-1.89
1.87,62.0,61.0,33.0,0.0,112.0,-1.89
1.904,71.0,68.0,33.0,0.0,112.0,-1.89
1.938,71.0,70.0,33.0,0.0,112.0,-1.89
1.972,81.0,78.0,33.0,0.0,112.0,-1.89
2.006,81.0,80.0,33.0,0.0,112.0,-1.89
2.04,92.0,88.0,33.0,0.0,112.0,-1.89
2.074,92.0,91.0,33.0,0.0,112.0,-1.89
2.108,103.0,99.0,33.0,0.0,112.0,-1.89
2.142,103.0,102.0,33.0,0.0,112.0,-1.89
2.176,115.0,111.0,33.0,0.0,112.0,-1.89
2.21,115.0,114.0,33.0,0.0,112.0,-1.89
2.244,128.0,124.0,33.0,0.0,112.0,-1.89
2.278,134.0,131.0,33.0,0.0,112.0,-1.89
2.312,134.0,133.0,33.0,0.0,112.0,-1.89
2.346,149.0,144.0,33.0,0.0,112.0,-1.89
2.38,156.0,152.0,33.0,0.0,112.0,-1.89
2.414,156.0,155.0,33.0,0.0,112.0,-1.89
2.448,156.0,156.0,33.0,0.0,112.0,-1.89
2.482,179.0,172.0,33.0,0.0,112.0,-1.89
2.516,179.0,177.0,33.0,0.0,112.0,-1.89
2.55,179.0,178.0,33.0,0.0,112.0,-1.89
2.584,203.0,195.0,33.0,0.0,112.0,-1.89
2.618,203.0,201.0,33.0,0.0,112.0,-1.89
2.652,203.0,202.0,33.0,0.0,112.0,-1.89
2.686,203.0,203.0,33.0,0.0,112.0,-1.89
2.72,203.0,203.0,33.0,0.0,112.0,-1.89
2.754,203.0,203.0,33.0,0.0,112.0,-1.89
2.788,234.0,225.0,33.0,0.0,112.0,-1.89
2.822,234.0,231.0,33.0,0.0,112.0,-1.89
2.856,234.0,233.0,33.0,0.0,112.0,-1.89
2.89,233.0,233.0,33.0,0.0,112.0,-1.89
2.924,233.0,233.0,33.0,0.0,112.0,-1.89
2.958,234.0,233.0,33.0,0.0,112.0,-1.89
2.992,234.0,233.0,33.0,0.0,112.0,-1.89
3.026,235.0,234.0,33.0,0.0,112.0,-1.89
3.06,235.0,235.0,33.0,0.0,112.0,-1.89
3.094,235.0,235.0,33.0,0.0,112.0,-1.89
3.128,239.0,237.0,33.0,0.0,112.0,-1.89
3.162,239.0,238.0,33.0,0.0,112.0,-1.89
3.196,243.0,242.0,33.0,0.0,112.0,-1.89
3.23,243.0,243.0,33.0,0.0,112.0,-1.89
