time,distance,filtered,setpoint,error,control
2.1955,21.0,3.0,125.0,121.0,140.0
2.2219,19.0,10.0,125.0,114.0,140.0
2.2641,19.0,10.0,125.0,114.0,140.0
2.3057,24.0,12.0,125.0,112.0,139.0
2.3326,44.0,16.0,125.0,108.0,135.0
2.3728,48.0,38.0,125.0,86.0,101.0
2.4113,53.0,40.0,125.0,84.0,106.0
2.4419,65.0,44.0,125.0,80.0,107.0
2.4815,83.0,58.0,125.0,66.0,90.0
2.524,93.0,77.0,125.0,47.0,67.0
2.5511,100.0,85.0,125.0,39.0,68.0
2.5905,110.0,93.0,125.0,31.0,67.0
2.6272,126.0,103.0,125.0,21.0,62.0
2.6572,136.0,120.0,125.0,4.0,60.0
2.702,141.0,126.0,125.0,-1.0,60.0
2.7442,148.0,131.0,125.0,-6.0,60.0
2.7671,161.0,138.0,125.0,-13.0,60.0
2.8062,166.0,151.0,125.0,-26.0,60.0
2.8442,165.0,155.0,125.0,-30.0,60.0
2.8752,170.0,158.0,125.0,-33.0,60.0
2.9132,173.0,162.0,125.0,-37.0,60.0
2.9547,170.0,162.0,125.0,-37.0,60.0
2.9828,172.0,165.0,125.0,-40.0,60.0
3.0212,165.0,165.0,125.0,-40.0,65.0
3.0643,170.0,168.0,125.0,-43.0,64.0
3.0929,162.0,168.0,125.0,-43.0,68.0
3.1318,165.0,168.0,125.0,-43.0,70.0
3.1559,161.0,165.0,125.0,-40.0,77.0
3.201,156.0,165.0,125.0,-40.0,77.0
3.2401,144.0,162.0,125.0,-37.0,82.0
3.2804,137.0,152.0,125.0,-27.0,98.0
3.3091,131.0,145.0,125.0,-20.0,107.0
3.3478,126.0,140.0,125.0,-15.0,111.0
3.3724,114.0,134.0,125.0,-9.0,115.0
3.4172,104.0,119.0,125.0,5.0,135.0
3.4549,99.0,110.0,125.0,14.0,140.0
3.4981,93.0,106.0,125.0,18.0,139.0
3.5244,80.0,99.0,125.0,25.0,140.0
3.564,77.0,84.0,125.0,40.0,140.0
3.6047,73.0,84.0,125.0,40.0,140.0
3.634,70.0,80.0,125.0,44.0,140.0
3.6712,67.0,76.0,125.0,48.0,140.0
3.7132,63.0,73.0,125.0,51.0,140.0
3.7427,61.0,70.0,125.0,54.0,140.0
3.7814,61.0,66.0,125.0,58.0,140.0
3.8226,65.0,66.0,125.0,58.0,138.0
3.8505,70.0,66.0,125.0,58.0,135.0
3.8978,70.0,66.0,125.0,58.0,132.0
3.9211,73.0,66.0,125.0,58.0,130.0
3.9612,77.0,69.0,125.0,55.0,125.0
4.0011,83.0,71.0,125.0,53.0,121.0
4.0246,89.0,75.0,125.0,49.0,114.0
4.0669,94.0,82.0,125.0,42.0,105.0
4.1055,97.0,86.0,125.0,38.0,101.0
4.1285,110.0,89.0,125.0,35.0,100.0
4.1744,115.0,104.0,125.0,20.0,79.0
4.223,121.0,107.0,125.0,17.0,81.0
4.2462,125.0,114.0,125.0,10.0,77.0
4.2824,138.0,117.0,125.0,7.0,78.0
4.3297,140.0,130.0,125.0,-5.0,62.0
4.3511,143.0,130.0,125.0,-5.0,71.0
4.389,147.0,134.0,125.0,-9.0,70.0
4.4367,152.0,138.0,125.0,-13.0,70.0
4.4585,158.0,143.0,125.0,-18.0,68.0
4.4984,156.0,147.0,125.0,-22.0,67.0
4.5453,159.0,150.0,125.0,-25.0,68.0
4.5676,152.0,150.0,125.0,-25.0,73.0
4.6066,154.0,152.0,125.0,-27.0,72.0
4.6535,151.0,152.0,125.0,-27.0,75.0
4.6758,152.0,152.0,125.0,-27.0,78.0
4.7143,150.0,152.0,125.0,-27.0,80.0
4.7449,143.0,152.0,125.0,-27.0,82.0
4.7855,140.0,148.0,125.0,-23.0,90.0
4.8258,129.0,148.0,125.0,-23.0,89.0
4.8545,127.0,137.0,125.0,-12.0,107.0
4.8974,116.0,134.0,125.0,-9.0,108.0
4.9463,109.0,122.0,125.0,2.0,125.0
4.9717,109.0,116.0,125.0,8.0,130.0
5.0133,103.0,116.0,125.0,8.0,123.0
5.0352,100.0,109.0,125.0,15.0,129.0
5.0704,88.0,106.0,125.0,18.0,129.0
5.1119,87.0,94.0,125.0,30.0,140.0
5.1484,82.0,94.0,125.0,30.0,136.0
5.1785,70.0,88.0,125.0,36.0,139.0
5.2182,74.0,81.0,125.0,43.0,140.0
5.2621,73.0,78.0,125.0,46.0,140.0
5.2876,75.0,78.0,125.0,46.0,137.0
5.3259,70.0,75.0,125.0,49.0,138.0
5.37,74.0,75.0,125.0,49.0,134.0
5.3983,78.0,75.0,125.0,49.0,131.0
5.4357,80.0,75.0,125.0,49.0,129.0
5.478,85.0,75.0,125.0,49.0,128.0
5.4985,91.0,78.0,125.0,46.0,121.0
5.5585,93.0,83.0,125.0,41.0,114.0
5.5818,99.0,86.0,125.0,38.0,110.0
5.6163,103.0,92.0,125.0,32.0,103.0
5.6536,115.0,95.0,125.0,29.0,100.0
5.6939,117.0,108.0,125.0,16.0,82.0
5.7181,127.0,110.0,125.0,14.0,85.0
5.78,137.0,119.0,125.0,5.0,76.0
5.8041,141.0,127.0,125.0,-2.0,69.0
5.8257,166.0,131.0,125.0,-6.0,70.0
5.8844,170.0,159.0,125.0,-34.0,60.0
5.9075,181.0,162.0,125.0,-37.0,60.0
