time,distance,filtered,setpoint,error,control
0.0284,232.0,218.0,125.0,-93.0,60.0
0.0669,236.0,225.0,125.0,-100.0,60.0
0.1082,236.0,225.0,125.0,-100.0,60.0
0.1357,218.0,225.0,125.0,-100.0,60.0
0.1753,236.0,232.0,125.0,-107.0,60.0
0.2201,218.0,225.0,125.0,-100.0,60.0
0.2442,243.0,225.0,125.0,-100.0,60.0
0.287,229.0,225.0,125.0,-100.0,60.0
0.3322,222.0,225.0,125.0,-100.0,60.0
0.3556,218.0,225.0,125.0,-100.0,60.0
0.3935,229.0,225.0,125.0,-100.0,60.0
0.4302,197.0,225.0,125.0,-100.0,60.0
0.4625,218.0,225.0,125.0,-100.0,60.0
0.5017,239.0,218.0,125.0,-93.0,68.0
0.5392,204.0,218.0,125.0,-93.0,66.0
0.5708,215.0,218.0,125.0,-93.0,63.0
0.6091,236.0,218.0,125.0,-93.0,62.0
0.6479,225.0,218.0,125.0,-93.0,60.0
0.6786,222.0,218.0,125.0,-93.0,60.0
0.7163,236.0,218.0,125.0,-93.0,60.0
0.7575,232.0,225.0,125.0,-100.0,60.0
0.786,218.0,225.0,125.0,-100.0,60.0
0.8242,215.0,225.0,125.0,-100.0,60.0
0.8664,222.0,225.0,125.0,-100.0,60.0
0.8943,229.0,225.0,125.0,-100.0,60.0
0.9403,225.0,225.0,125.0,-100.0,60.0
0.9618,218.0,225.0,125.0,-100.0,60.0
1.0014,232.0,225.0,125.0,-100.0,60.0
1.0483,194.0,225.0,125.0,-100.0,60.0
1.0749,215.0,218.0,125.0,-93.0,65.0
1.1094,197.0,218.0,125.0,-93.0,62.0
1.1577,186.0,211.0,125.0,-86.0,72.0
1.1865,176.0,201.0,125.0,-76.0,86.0
1.2169,176.0,184.0,125.0,-59.0,108.0
1.2639,163.0,184.0,125.0,-59.0,98.0
1.289,152.0,172.0,125.0,-47.0,112.0
1.3237,130.0,161.0,125.0,-36.0,121.0
1.3556,117.0,136.0,125.0,-11.0,140.0
1.4007,106.0,123.0,125.0,1.0,140.0
1.4323,92.0,111.0,125.0,13.0,140.0
1.4648,81.0,96.0,125.0,28.0,140.0
1.5093,58.0,87.0,125.0,37.0,140.0
1.5398,51.0,64.0,125.0,60.0,140.0
1.5728,38.0,58.0,125.0,66.0,140.0
1.6318,25.0,44.0,125.0,80.0,140.0
1.654,15.0,33.0,125.0,91.0,140.0
1.6803,12.0,22.0,125.0,102.0,140.0
1.7391,8.0,19.0,125.0,105.0,140.0
1.7635,6.0,16.0,125.0,108.0,140.0
1.7886,11.0,14.0,125.0,110.0,140.0
1.8475,2.0,14.0,125.0,110.0,140.0
1.8678,0,8.0,125.0,116.0,140.0
1.8966,0,6.0,125.0,118.0,140.0
1.9401,1.0,3.0,125.0,121.0,140.0
1.9827,0,3.0,125.0,121.0,140.0
2.0059,3.0,3.0,125.0,121.0,140.0
2.0464,6.0,3.0,125.0,121.0,140.0
2.09,3.0,3.0,125.0,121.0,140.0
2.1134,5.0,3.0,125.0,121.0,140.0
2.152,8.0,3.0,125.0,121.0,140.0
