time,distance,filtered,setpoint,error,control
0.0195,218.0,218.0,125.0,-93.0,60.0
0.0549,218.0,218.0,125.0,-93.0,60.0
0.076,232.0,218.0,125.0,-93.0,60.0
0.1142,236.0,218.0,125.0,-93.0,60.0
0.1504,215.0,218.0,125.0,-93.0,60.0
0.1883,218.0,218.0,125.0,-93.0,60.0
0.2216,250.0,218.0,125.0,-93.0,60.0
0.2663,218.0,218.0,125.0,-93.0,60.0
0.2856,225.0,218.0,125.0,-93.0,60.0
0.3302,222.0,218.0,125.0,-93.0,60.0
0.3689,222.0,218.0,125.0,-93.0,60.0
0.4103,229.0,218.0,125.0,-93.0,60.0
0.4383,236.0,218.0,125.0,-93.0,60.0
0.4758,215.0,225.0,125.0,-100.0,60.0
0.5146,232.0,225.0,125.0,-100.0,60.0
0.545,208.0,225.0,125.0,-100.0,60.0
0.5905,239.0,225.0,125.0,-100.0,60.0
0.6117,215.0,225.0,125.0,-100.0,60.0
0.6543,236.0,225.0,125.0,-100.0,60.0
0.6936,236.0,225.0,125.0,-100.0,60.0
0.7165,218.0,225.0,125.0,-100.0,60.0
0.7618,218.0,225.0,125.0,-100.0,60.0
0.8119,243.0,225.0,125.0,-100.0,60.0
0.8331,229.0,225.0,125.0,-100.0,60.0
0.8724,215.0,225.0,125.0,-100.0,60.0
0.9252,222.0,225.0,125.0,-100.0,60.0
0.9329,218.0,225.0,125.0,-100.0,60.0
0.9988,218.0,218.0,125.0,-93.0,62.0
1.0435,229.0,218.0,125.0,-93.0,60.0
1.0498,215.0,218.0,125.0,-93.0,60.0
1.0875,229.0,218.0,125.0,-93.0,60.0
1.143,222.0,218.0,125.0,-93.0,60.0
1.1667,197.0,218.0,125.0,-93.0,60.0
1.211,211.0,218.0,125.0,-93.0,60.0
1.2359,229.0,218.0,125.0,-93.0,60.0
1.2777,222.0,218.0,125.0,-93.0,60.0
1.3026,225.0,218.0,125.0,-93.0,60.0
1.3463,204.0,218.0,125.0,-93.0,60.0
1.3714,229.0,218.0,125.0,-93.0,60.0
1.4102,225.0,218.0,125.0,-93.0,60.0
1.4577,218.0,218.0,125.0,-93.0,60.0
1.4828,229.0,218.0,125.0,-93.0,60.0
1.518,208.0,218.0,125.0,-93.0,60.0
1.5678,236.0,218.0,125.0,-93.0,60.0
1.5916,218.0,218.0,125.0,-93.0,60.0
1.6262,222.0,218.0,125.0,-93.0,60.0
1.6752,232.0,218.0,125.0,-93.0,60.0
1.6988,194.0,218.0,125.0,-93.0,60.0
1.7342,208.0,218.0,125.0,-93.0,60.0
1.7655,232.0,211.0,125.0,-86.0,65.0
1.8083,225.0,211.0,125.0,-86.0,62.0
1.8423,204.0,218.0,125.0,-93.0,60.0
1.8768,250.0,218.0,125.0,-93.0,60.0
