time,distance,filtered,setpoint,error,control
0.0023,116.0,116.0,112.0,-4.0,100.0
0.1094,116.0,116.0,112.0,-4.0,100.0
0.11,115.0,115.0,112.0,-3.0,102.0
0.1123,115.0,115.0,112.0,-3.0,102.0
0.1989,116.0,116.0,112.0,-3.0,100.0
0.2011,117.0,116.0,112.0,-4.0,99.0
0.2978,117.0,117.0,112.0,-4.0,99.0
0.2983,117.0,117.0,112.0,-5.0,99.0
0.3245,113.0,115.0,112.0,-3.0,105.0
0.4008,113.0,114.0,112.0,-2.0,106.0
0.4013,113.0,113.0,112.0,-1.0,105.0
0.4036,114.0,114.0,112.0,-1.0,102.0
0.5045,116.0,115.0,112.0,-3.0,99.0
0.505,115.0,115.0,112.0,-3.0,100.0
0.5062,115.0,115.0,112.0,-3.0,100.0
0.6012,115.0,115.0,112.0,-3.0,101.0
0.6017,115.0,115.0,112.0,-3.0,101.0
0.6116,115.0,115.0,112.0,-3.0,101.0
0.7094,115.0,115.0,112.0,-3.0,101.0
0.7099,115.0,115.0,112.0,-3.0,101.0
0.7189,115.0,115.0,112.0,-3.0,101.0
0.8165,115.0,115.0,112.0,-3.0,101.0
0.817,115.0,115.0,112.0,-3.0,101.0
0.8243,115.0,115.0,112.0,-3.0,101.0
0.9298,115.0,115.0,112.0,-3.0,101.0
0.9302,115.0,115.0,112.0,-3.0,101.0
0.9357,115.0,115.0,112.0,-3.0,101.0
1.0464,115.0,115.0,112.0,-3.0,101.0
1.0469,116.0,115.0,112.0,-3.0,100.0
1.0524,116.0,116.0,112.0,-4.0,100.0
1.15,116.0,116.0,112.0,-4.0,100.0
1.1504,116.0,116.0,112.0,-4.0,100.0
1.1593,116.0,116.0,112.0,-4.0,100.0
1.2517,116.0,116.0,112.0,-4.0,100.0
1.2523,115.0,115.0,112.0,-3.0,102.0
1.2717,115.0,115.0,112.0,-3.0,102.0
1.3561,114.0,115.0,112.0,-2.0,103.0
1.3566,115.0,115.0,112.0,-3.0,101.0
1.3662,116.0,115.0,112.0,-3.0,100.0
1.4802,116.0,116.0,112.0,-3.0,99.0
1.4808,115.0,115.0,112.0,-3.0,101.0
1.4815,114.0,115.0,112.0,-2.0,103.0
1.5823,114.0,114.0,112.0,-2.0,103.0
1.5828,115.0,115.0,112.0,-2.0,101.0
1.5835,115.0,115.0,112.0,-3.0,101.0
1.6825,115.0,115.0,112.0,-3.0,101.0
1.683,115.0,115.0,112.0,-3.0,101.0
1.6932,116.0,115.0,112.0,-3.0,99.0
1.7923,116.0,116.0,112.0,-4.0,99.0
1.7928,116.0,116.0,112.0,-4.0,100.0
1.7992,116.0,116.0,112.0,-4.0,100.0
1.9128,116.0,116.0,112.0,-4.0,100.0
1.9132,116.0,116.0,112.0,-4.0,100.0
1.914,116.0,116.0,112.0,-4.0,100.0
2.016,113.0,114.0,112.0,-2.0,105.0
2.0164,116.0,115.0,112.0,-3.0,101.0
2.0172,116.0,116.0,112.0,-3.0,100.0
2.1361,116.0,116.0,112.0,-4.0,100.0
2.1366,116.0,116.0,112.0,-4.0,100.0
2.1429,114.0,115.0,112.0,-3.0,103.0
2.2408,117.0,116.0,112.0,-4.0,99.0
2.2415,117.0,117.0,112.0,-4.0,98.0
2.2423,117.0,117.0,112.0,-5.0,99.0
2.353,115.0,116.0,112.0,-4.0,102.0
2.3538,114.0,115.0,112.0,-3.0,104.0
2.3547,114.0,114.0,112.0,-2.0,103.0
2.4587,114.0,114.0,112.0,-2.0,103.0
2.4593,116.0,115.0,112.0,-3.0,99.0
2.4601,116.0,116.0,112.0,-3.0,99.0
2.5683,114.0,115.0,112.0,-2.0,102.0
2.5688,114.0,114.0,112.0,-2.0,102.0
2.5697,113.0,114.0,112.0,-1.0,103.0
2.6788,114.0,114.0,112.0,-1.0,102.0
2.6795,114.0,114.0,112.0,-2.0,101.0
2.6802,114.0,114.0,112.0,-2.0,101.0
2.7845,114.0,114.0,112.0,-2.0,101.0
2.785,115.0,114.0,112.0,-2.0,100.0
2.7858,115.0,115.0,112.0,-2.0,100.0
2.9013,116.0,115.0,112.0,-3.0,99.0
2.9018,116.0,116.0,112.0,-3.0,99.0
2.9028,116.0,116.0,112.0,-4.0,99.0
3.0012,115.0,115.0,112.0,-3.0,101.0
3.0017,115.0,115.0,112.0,-3.0,101.0
3.0024,115.0,115.0,112.0,-3.0,101.0
3.0188,115.0,115.0,112.0,-3.0,101.0
3.1113,114.0,114.0,112.0,-2.0,102.0
3.1168,115.0,115.0,112.0,-2.0,101.0
3.1266,114.0,114.0,112.0,-2.0,102.0
3.2297,115.0,115.0,112.0,-2.0,100.0
3.2301,115.0,115.0,112.0,-3.0,100.0
