time,distance,filtered,control,setpoint
0.0,117.0,117.0,100.0,115.0
0.036,117.0,117.0,100.0,115.0
0.072,118.0,117.0,100.0,115.0
0.108,116.0,117.0,100.0,115.0
0.144,118.0,117.0,100.0,115.0
0.18,118.0,117.0,100.0,115.0
0.216,117.0,117.0,100.0,115.0
0.252,116.0,117.0,100.0,115.0
0.288,118.0,117.0,100.0,115.0
0.324,117.0,117.0,100.0,115.0
0.36,116.0,117.0,100.0,115.0
0.396,117.0,117.0,100.0,115.0
0.432,119.0,117.0,100.0,115.0
0.468,118.0,117.0,100.0,115.0
0.504,117.0,117.0,100.0,115.0
0.54,120.0,117.0,100.0,115.0
0.576,117.0,117.0,100.0,115.0
0.612,114.0,117.0,100.0,115.0
0.648,117.0,117.0,100.0,115.0
0.684,118.0,117.0,100.0,115.0
0.72,115.0,117.0,100.0,115.0
0.756,120.0,117.0,100.0,115.0
0.792,120.0,118.0,100.0,115.0
0.828,115.0,119.0,100.0,115.0
0.864,117.0,118.0,100.0,115.0
0.9,120.0,117.0,100.0,115.0
0.936,114.0,117.0,100.0,115.0
0.972,114.0,115.0,100.0,115.0
1.008,115.0,114.0,100.0,115.0
1.044,117.0,114.0,100.0,115.0
1.08,120.0,115.0,100.0,115.0
1.116,116.0,116.0,100.0,115.0
1.152,120.0,118.0,100.0,115.0
1.188,118.0,118.0,100.0,115.0
1.224,118.0,118.0,92.0,115.0
1.26,116.0,118.0,92.0,115.0
1.296,116.0,117.0,92.0,115.0
1.332,117.0,116.0,92.0,115.0
1.368,116.0,116.0,92.0,115.0
1.404,116.0,116.0,92.0,115.0
1.44,114.0,116.0,92.0,115.0
1.476,115.0,115.0,92.0,115.0
1.512,116.0,115.0,92.0,115.0
1.548,113.0,115.0,92.0,115.0
1.584,113.0,114.0,92.0,115.0
1.62,113.0,113.0,92.0,115.0
1.656,113.0,113.0,92.0,115.0
1.692,111.0,113.0,92.0,115.0
1.728,111.0,112.0,107.0,115.0
1.765,108.0,111.0,107.0,115.0
1.802,108.0,109.0,107.0,115.0
1.838,106.0,108.0,107.0,115.0
1.875,103.0,107.0,107.0,115.0
1.912,101.0,105.0,107.0,115.0
1.949,99.0,102.0,107.0,115.0
1.985,102.0,102.0,107.0,115.0
2.022,99.0,100.0,107.0,115.0
