time,distance,filtered,setpoint,error,control
0.0309,0,0.0,125.0,125.0,140.0
0.0707,1.0,0.0,125.0,125.0,140.0
0.112,0,0.0,125.0,125.0,140.0
0.1404,1.0,0.0,125.0,125.0,140.0
0.1802,0,0.0,125.0,125.0,140.0
0.2205,0,0.0,125.0,125.0,140.0
0.2487,0,0.0,125.0,125.0,140.0
0.2902,0,0.0,125.0,125.0,140.0
0.3307,0,0.0,125.0,125.0,140.0
0.3581,0,0.0,125.0,125.0,140.0
0.3978,0,0.0,125.0,125.0,140.0
0.4218,0,0.0,125.0,125.0,140.0
0.4663,0,0.0,125.0,125.0,140.0
0.5078,0,0.0,125.0,125.0,140.0
0.5313,0,0.0,125.0,125.0,140.0
0.5746,0,0.0,125.0,125.0,140.0
0.6123,2.0,0.0,125.0,125.0,140.0
0.6379,0,0.0,125.0,125.0,140.0
0.6839,0,0.0,125.0,125.0,140.0
0.7216,0,0.0,125.0,125.0,140.0
0.7456,1.0,0.0,125.0,125.0,140.0
0.7934,0,0.0,125.0,125.0,140.0
0.8306,0,0.0,125.0,125.0,140.0
0.8549,0,0.0,125.0,125.0,140.0
0.9016,0,0.0,125.0,125.0,140.0
0.9378,0,0.0,125.0,125.0,140.0
0.9633,1.0,0.0,125.0,125.0,140.0
1.0092,0,0.0,125.0,125.0,140.0
1.0509,0,0.0,125.0,125.0,140.0
1.0732,0,0.0,125.0,125.0,140.0
1.1168,1.0,0.0,125.0,125.0,140.0
1.1559,0,0.0,125.0,125.0,140.0
1.1791,0,0.0,125.0,125.0,140.0
1.2258,0,0.0,125.0,125.0,140.0
1.2635,0,0.0,125.0,125.0,140.0
