time,distance,filtered,control,setpoint
0.0,122.0,122.0,100.0,115.0
0.037,119.0,122.0,100.0,115.0
0.073,120.0,121.0,100.0,115.0
0.109,123.0,120.0,100.0,115.0
0.145,122.0,121.0,100.0,115.0
0.181,120.0,121.0,100.0,115.0
0.217,122.0,121.0,100.0,115.0
0.253,124.0,121.0,100.0,115.0
0.29,123.0,122.0,100.0,115.0
0.327,124.0,123.0,100.0,115.0
0.364,119.0,123.0,100.0,115.0
0.4,122.0,122.0,100.0,115.0
0.436,122.0,122.0,100.0,115.0
0.472,120.0,122.0,100.0,115.0
0.509,120.0,121.0,100.0,115.0
0.545,120.0,120.0,100.0,115.0
0.581,122.0,120.0,100.0,115.0
0.617,122.0,121.0,100.0,115.0
0.653,121.0,121.0,100.0,115.0
0.689,119.0,121.0,100.0,115.0
0.726,120.0,120.0,100.0,115.0
0.763,122.0,120.0,100.0,115.0
0.8,123.0,121.0,100.0,115.0
0.837,119.0,121.0,100.0,115.0
0.874,120.0,120.0,100.0,115.0
0.911,120.0,120.0,100.0,115.0
0.947,122.0,120.0,100.0,115.0
0.983,123.0,121.0,100.0,115.0
1.019,121.0,121.0,100.0,115.0
1.055,119.0,121.0,100.0,115.0
1.091,123.0,121.0,100.0,115.0
1.128,120.0,120.0,100.0,115.0
1.164,121.0,120.0,100.0,115.0
1.2,121.0,120.0,100.0,115.0
1.236,122.0,120.0,92.0,115.0
1.272,123.0,121.0,92.0,115.0
1.308,122.0,121.0,92.0,115.0
1.344,123.0,122.0,92.0,115.0
1.38,122.0,122.0,92.0,115.0
1.416,122.0,122.0,92.0,115.0
1.452,120.0,122.0,92.0,115.0
1.488,123.0,122.0,92.0,115.0
1.524,121.0,121.0,92.0,115.0
1.56,118.0,121.0,92.0,115.0
1.596,119.0,120.0,92.0,115.0
1.632,116.0,119.0,92.0,115.0
1.668,116.0,117.0,92.0,115.0
1.704,115.0,116.0,92.0,115.0
1.74,111.0,115.0,107.0,115.0
1.777,113.0,114.0,107.0,115.0
1.814,113.0,113.0,107.0,115.0
1.85,111.0,113.0,107.0,115.0
1.887,109.0,112.0,107.0,115.0
1.924,108.0,110.0,107.0,115.0
1.961,108.0,109.0,107.0,115.0
1.997,105.0,108.0,107.0,115.0
2.034,106.0,107.0,107.0,115.0
2.071,103.0,106.0,107.0,115.0
2.108,108.0,106.0,107.0,115.0
2.145,109.0,107.0,107.0,115.0
2.182,112.0,108.0,107.0,115.0
2.218,107.0,108.0,107.0,115.0
2.254,108.0,108.0,107.0,115.0
2.29,111.0,108.0,107.0,115.0
2.326,111.0,109.0,92.0,115.0
2.362,113.0,110.0,92.0,115.0
2.398,114.0,111.0,92.0,115.0
2.434,120.0,113.0,92.0,115.0
2.47,121.0,116.0,92.0,115.0
2.506,121.0,118.0,92.0,115.0
2.542,121.0,119.0,92.0,115.0
2.578,120.0,120.0,92.0,115.0
2.614,127.0,120.0,92.0,115.0
2.65,129.0,123.0,92.0,115.0
2.686,125.0,125.0,92.0,115.0
2.722,126.0,125.0,92.0,115.0
2.758,127.0,125.0,92.0,115.0
2.794,132.0,126.0,92.0,115.0
2.83,130.0,127.0,92.0,115.0
2.866,129.0,129.0,92.0,115.0
2.902,132.0,129.0,92.0,115.0
2.938,129.0,129.0,92.0,115.0
2.974,126.0,129.0,92.0,115.0
3.01,127.0,127.0,92.0,115.0
3.046,127.0,127.0,105.0,115.0
3.083,127.0,127.0,105.0,115.0
3.12,125.0,127.0,105.0,115.0
3.157,123.0,126.0,105.0,115.0
3.194,127.0,125.0,105.0,115.0
3.23,121.0,124.0,105.0,115.0
3.266,123.0,123.0,105.0,115.0
3.302,122.0,122.0,105.0,115.0
3.338,120.0,122.0,105.0,115.0
3.375,123.0,122.0,105.0,115.0
3.412,127.0,122.0,105.0,115.0
3.449,121.0,122.0,105.0,115.0
3.485,127.0,124.0,105.0,115.0
3.521,123.0,123.0,105.0,115.0
3.557,125.0,124.0,105.0,115.0
3.593,125.0,124.0,105.0,115.0
3.629,125.0,124.0,105.0,115.0
3.665,122.0,124.0,105.0,115.0
3.701,129.0,124.0,105.0,115.0
3.737,132.0,126.0,105.0,115.0
3.774,135.0,129.0,91.0,115.0
3.81,135.0,132.0,91.0,115.0
3.846,138.0,133.0,91.0,115.0
3.882,133.0,133.0,91.0,115.0
3.918,142.0,135.0,91.0,115.0
3.954,141.0,138.0,91.0,115.0
3.99,144.0,139.0,91.0,115.0
4.026,141.0,139.0,91.0,115.0
4.062,135.0,139.0,91.0,115.0
4.098,145.0,139.0,91.0,115.0
4.134,144.0,141.0,91.0,115.0
4.17,138.0,142.0,91.0,115.0
4.206,142.0,142.0,91.0,115.0
4.242,136.0,139.0,91.0,115.0
4.278,139.0,139.0,91.0,115.0
4.314,139.0,139.0,91.0,115.0
4.35,138.0,139.0,91.0,115.0
4.386,133.0,138.0,91.0,115.0
4.422,127.0,135.0,91.0,115.0
4.458,129.0,132.0,91.0,115.0
4.494,132.0,130.0,104.0,115.0
4.531,123.0,129.0,104.0,115.0
4.568,122.0,125.0,104.0,115.0
4.605,120.0,123.0,104.0,115.0
4.642,120.0,121.0,104.0,115.0
4.678,116.0,120.0,104.0,115.0
4.715,113.0,118.0,104.0,115.0
4.752,120.0,117.0,104.0,115.0
4.789,108.0,114.0,104.0,115.0
4.825,112.0,113.0,104.0,115.0
4.861,111.0,112.0,104.0,115.0
4.897,110.0,111.0,104.0,115.0
4.933,107.0,110.0,104.0,115.0
4.969,109.0,109.0,104.0,115.0
5.005,110.0,109.0,104.0,115.0
5.042,107.0,109.0,104.0,115.0
5.079,108.0,108.0,104.0,115.0
5.116,110.0,108.0,104.0,115.0
5.153,112.0,109.0,104.0,115.0
5.19,110.0,109.0,104.0,115.0
5.227,112.0,110.0,104.0,115.0
5.263,113.0,111.0,93.0,115.0
5.299,112.0,111.0,93.0,115.0
5.335,113.0,112.0,93.0,115.0
5.371,117.0,112.0,93.0,115.0
5.407,121.0,114.0,93.0,115.0
5.443,117.0,115.0,93.0,115.0
5.479,118.0,116.0,93.0,115.0
5.515,120.0,117.0,93.0,115.0
5.551,120.0,118.0,93.0,115.0
5.587,123.0,119.0,93.0,115.0
5.623,123.0,121.0,93.0,115.0
5.659,117.0,122.0,93.0,115.0
5.695,119.0,120.0,93.0,115.0
5.731,121.0,119.0,93.0,115.0
5.767,122.0,120.0,93.0,115.0
5.803,120.0,120.0,93.0,115.0
5.839,120.0,120.0,107.0,115.0
5.876,118.0,120.0,107.0,115.0
5.913,120.0,120.0,107.0,115.0
5.95,118.0,119.0,107.0,115.0
5.987,116.0,118.0,107.0,115.0
6.023,113.0,117.0,107.0,115.0
6.059,119.0,116.0,107.0,115.0
6.096,118.0,117.0,107.0,115.0
6.133,119.0,118.0,107.0,115.0
6.17,116.0,118.0,107.0,115.0
6.206,119.0,118.0,107.0,115.0
6.242,118.0,118.0,107.0,115.0
6.278,121.0,118.0,107.0,115.0
6.314,120.0,119.0,107.0,115.0
6.35,122.0,120.0,107.0,115.0
6.386,122.0,121.0,107.0,115.0
6.422,122.0,121.0,107.0,115.0
6.458,124.0,121.0,107.0,115.0
6.494,122.0,121.0,107.0,115.0
6.53,123.0,122.0,93.0,115.0
6.566,129.0,122.0,93.0,115.0
6.602,132.0,125.0,93.0,115.0
6.638,126.0,126.0,93.0,115.0
6.674,133.0,129.0,93.0,115.0
6.71,136.0,130.0,93.0,115.0
6.746,141.0,133.0,93.0,115.0
6.782,138.0,135.0,93.0,115.0
6.818,139.0,136.0,93.0,115.0
6.854,144.0,138.0,93.0,115.0
6.89,142.0,139.0,93.0,115.0
6.926,144.0,141.0,93.0,115.0
6.962,142.0,141.0,93.0,115.0
6.998,142.0,141.0,93.0,115.0
7.034,151.0,141.0,93.0,115.0
7.07,135.0,141.0,93.0,115.0
7.106,142.0,141.0,93.0,115.0
7.142,142.0,141.0,93.0,115.0
7.178,147.0,141.0,93.0,115.0
7.214,145.0,142.0,93.0,115.0
7.25,141.0,144.0,104.0,115.0
7.287,139.0,142.0,104.0,115.0
7.324,139.0,141.0,104.0,115.0
7.361,129.0,139.0,104.0,115.0
7.398,135.0,136.0,104.0,115.0
7.434,132.0,133.0,104.0,115.0
7.471,127.0,132.0,104.0,115.0
7.508,130.0,130.0,104.0,115.0
7.545,129.0,129.0,104.0,115.0
7.581,132.0,129.0,104.0,115.0
7.618,127.0,129.0,104.0,115.0
7.655,129.0,129.0,104.0,115.0
7.692,127.0,127.0,104.0,115.0
7.729,129.0,127.0,104.0,115.0
7.766,129.0,127.0,104.0,115.0
7.802,129.0,127.0,94.0,115.0
7.838,130.0,127.0,94.0,115.0
7.874,125.0,127.0,94.0,115.0
7.91,130.0,129.0,94.0,115.0
7.946,132.0,129.0,94.0,115.0
7.982,127.0,129.0,94.0,115.0
8.018,129.0,129.0,94.0,115.0
8.054,132.0,129.0,94.0,115.0
8.09,126.0,129.0,94.0,115.0
8.126,129.0,129.0,94.0,115.0
8.162,124.0,127.0,94.0,115.0
8.198,129.0,127.0,94.0,115.0
8.234,130.0,127.0,94.0,115.0
8.27,122.0,127.0,94.0,115.0
8.306,125.0,126.0,94.0,115.0
8.342,125.0,125.0,94.0,115.0
8.378,123.0,125.0,94.0,115.0
8.414,123.0,124.0,94.0,115.0
8.45,117.0,123.0,94.0,115.0
8.486,121.0,122.0,94.0,115.0
8.522,118.0,120.0,107.0,115.0
8.558,117.0,119.0,107.0,115.0
8.595,113.0,118.0,107.0,115.0
8.632,117.0,117.0,107.0,115.0
8.669,115.0,116.0,107.0,115.0
8.705,111.0,115.0,107.0,115.0
8.742,109.0,113.0,107.0,115.0
8.779,113.0,112.0,107.0,115.0
8.816,113.0,112.0,107.0,115.0
8.853,111.0,112.0,107.0,115.0
8.89,108.0,111.0,107.0,115.0
8.927,112.0,111.0,107.0,115.0
8.963,113.0,111.0,107.0,115.0
8.999,112.0,111.0,107.0,115.0
9.036,113.0,112.0,107.0,115.0
9.073,114.0,113.0,107.0,115.0
9.11,112.0,113.0,92.0,115.0
9.146,115.0,113.0,92.0,115.0
9.182,117.0,114.0,92.0,115.0
9.218,118.0,115.0,92.0,115.0
9.254,123.0,116.0,92.0,115.0
9.29,121.0,118.0,92.0,115.0
9.326,124.0,120.0,92.0,115.0
9.362,125.0,122.0,92.0,115.0
9.398,126.0,123.0,92.0,115.0
9.434,126.0,124.0,92.0,115.0
9.47,122.0,125.0,92.0,115.0
9.506,125.0,125.0,92.0,115.0
9.542,126.0,125.0,92.0,115.0
9.578,126.0,125.0,92.0,115.0
9.614,126.0,125.0,92.0,115.0
9.65,123.0,125.0,105.0,115.0
9.686,127.0,125.0,105.0,115.0
9.722,125.0,125.0,105.0,115.0
9.758,126.0,125.0,105.0,115.0
9.794,122.0,125.0,105.0,115.0
9.83,125.0,125.0,105.0,115.0
9.866,119.0,123.0,105.0,115.0
9.902,122.0,122.0,105.0,115.0
9.938,120.0,121.0,105.0,115.0
9.974,121.0,121.0,105.0,115.0
10.01,119.0,120.0,105.0,115.0
10.047,125.0,120.0,105.0,115.0
10.084,123.0,121.0,105.0,115.0
10.121,125.0,123.0,105.0,115.0
10.157,121.0,123.0,105.0,115.0
10.193,124.0,123.0,105.0,115.0
10.229,123.0,123.0,105.0,115.0
10.265,122.0,123.0,95.0,115.0
10.301,125.0,123.0,95.0,115.0
10.337,125.0,124.0,95.0,115.0
10.373,133.0,124.0,95.0,115.0
10.409,130.0,126.0,95.0,115.0
