time,distance,filtered,control,setpoint
5.724,98.0,96.0,107.0,125.0
5.76,100.0,97.0,107.0,125.0
5.796,98.0,97.0,107.0,125.0
5.832,102.0,98.0,107.0,125.0
5.868,100.0,99.0,107.0,125.0
5.904,102.0,100.0,107.0,125.0
5.94,103.0,101.0,107.0,125.0
5.976,106.0,102.0,107.0,125.0
6.012,103.0,102.0,107.0,125.0
6.048,106.0,104.0,107.0,125.0
6.084,106.0,105.0,107.0,125.0
6.12,111.0,105.0,107.0,125.0
6.156,110.0,107.0,107.0,125.0
6.192,113.0,109.0,107.0,125.0
6.228,111.0,110.0,95.0,125.0
6.264,116.0,112.0,95.0,125.0
6.3,117.0,113.0,95.0,125.0
6.336,115.0,114.0,95.0,125.0
6.372,124.0,115.0,95.0,125.0
6.408,122.0,118.0,95.0,125.0
6.444,122.0,120.0,95.0,125.0
6.48,121.0,121.0,95.0,125.0
6.516,125.0,121.0,95.0,125.0
6.552,126.0,123.0,95.0,125.0
6.588,125.0,124.0,95.0,125.0
6.624,129.0,125.0,95.0,125.0
6.66,129.0,126.0,95.0,125.0
6.696,127.0,127.0,95.0,125.0
6.732,125.0,127.0,95.0,125.0
6.768,125.0,126.0,95.0,125.0
6.804,130.0,125.0,95.0,125.0
6.84,127.0,126.0,95.0,125.0
6.876,127.0,126.0,95.0,125.0
6.912,122.0,126.0,95.0,125.0
6.948,124.0,125.0,108.0,125.0
6.984,122.0,123.0,108.0,125.0
7.02,123.0,123.0,108.0,125.0
7.056,122.0,122.0,108.0,125.0
7.092,120.0,122.0,108.0,125.0
7.128,120.0,121.0,108.0,125.0
7.164,116.0,120.0,108.0,125.0
7.2,116.0,118.0,108.0,125.0
7.236,115.0,117.0,108.0,125.0
7.272,116.0,116.0,108.0,125.0
7.308,113.0,115.0,108.0,125.0
7.344,116.0,115.0,108.0,125.0
7.38,117.0,115.0,108.0,125.0
7.416,118.0,116.0,108.0,125.0
7.452,119.0,117.0,108.0,125.0
7.488,120.0,118.0,108.0,125.0
7.524,118.0,118.0,108.0,125.0
7.56,120.0,119.0,108.0,125.0
7.596,118.0,118.0,108.0,125.0
7.632,118.0,118.0,108.0,125.0
7.668,120.0,118.0,108.0,125.0
7.704,121.0,119.0,91.0,125.0
7.74,121.0,120.0,91.0,125.0
7.776,121.0,120.0,91.0,125.0
7.812,127.0,120.0,91.0,125.0
7.848,123.0,121.0,91.0,125.0
7.884,125.0,123.0,91.0,125.0
7.92,127.0,124.0,91.0,125.0
7.956,125.0,124.0,91.0,125.0
7.992,129.0,125.0,91.0,125.0
8.028,130.0,126.0,91.0,125.0
8.064,127.0,127.0,91.0,125.0
8.1,130.0,129.0,91.0,125.0
8.136,127.0,127.0,91.0,125.0
8.172,130.0,129.0,91.0,125.0
8.208,130.0,129.0,91.0,125.0
8.244,127.0,129.0,91.0,125.0
8.28,125.0,127.0,91.0,125.0
8.316,124.0,126.0,91.0,125.0
8.352,126.0,125.0,91.0,125.0
8.388,119.0,124.0,91.0,125.0
8.424,121.0,122.0,91.0,125.0
8.46,117.0,120.0,91.0,125.0
8.496,118.0,119.0,106.0,125.0
8.532,116.0,118.0,106.0,125.0
8.568,113.0,117.0,106.0,125.0
8.604,112.0,114.0,106.0,125.0
8.64,105.0,113.0,106.0,125.0
8.676,103.0,109.0,106.0,125.0
8.712,101.0,106.0,106.0,125.0
8.748,99.0,103.0,106.0,125.0
8.784,95.0,101.0,106.0,125.0
