time,distance,filtered,control,setpoint
0.0205,133.0,129.0,100.0,125.0
0.0519,133.0,131.0,100.0,125.0
0.0982,131.0,131.0,100.0,125.0
0.1299,133.0,131.0,100.0,125.0
0.1609,131.0,131.0,100.0,125.0
0.1959,133.0,131.0,100.0,125.0
0.2395,126.0,131.0,100.0,125.0
0.2709,129.0,129.0,100.0,125.0
0.3058,133.0,129.0,100.0,125.0
0.3491,128.0,129.0,100.0,125.0
0.3815,133.0,131.0,100.0,125.0
0.4137,129.0,129.0,100.0,125.0
0.4598,134.0,131.0,100.0,125.0
0.49,128.0,129.0,100.0,125.0
0.5265,126.0,128.0,100.0,125.0
0.5667,141.0,128.0,100.0,125.0
0.5982,131.0,129.0,100.0,125.0
0.6386,129.0,129.0,100.0,125.0
0.6637,131.0,129.0,100.0,125.0
0.7087,129.0,129.0,100.0,125.0
0.7453,126.0,129.0,100.0,125.0
0.772,138.0,129.0,100.0,125.0
0.8165,129.0,129.0,100.0,125.0
0.8541,129.0,129.0,100.0,125.0
0.8804,129.0,129.0,100.0,125.0
0.9269,131.0,129.0,100.0,125.0
0.9603,133.0,129.0,100.0,125.0
0.9886,138.0,131.0,100.0,125.0
1.0336,129.0,131.0,100.0,125.0
1.0763,131.0,131.0,100.0,125.0
1.0958,126.0,129.0,100.0,125.0
1.1426,134.0,129.0,100.0,125.0
1.1868,131.0,129.0,100.0,125.0
1.2045,129.0,129.0,109.0,125.0
1.2508,128.0,129.0,109.0,125.0
1.2884,133.0,129.0,109.0,125.0
1.3132,129.0,129.0,109.0,125.0
1.36,129.0,129.0,109.0,125.0
1.4022,134.0,129.0,109.0,125.0
1.4213,134.0,131.0,109.0,125.0
1.4687,138.0,133.0,109.0,125.0
1.5058,134.0,133.0,109.0,125.0
1.5311,136.0,134.0,109.0,125.0
1.5645,141.0,134.0,109.0,125.0
1.6242,138.0,136.0,109.0,125.0
1.6406,143.0,138.0,109.0,125.0
1.6714,144.0,139.0,109.0,125.0
1.7221,146.0,141.0,109.0,125.0
1.7491,149.0,143.0,109.0,125.0
1.7804,148.0,144.0,109.0,125.0
1.8333,154.0,146.0,109.0,125.0
1.8579,156.0,149.0,109.0,125.0
1.8895,156.0,152.0,109.0,125.0
1.9398,166.0,154.0,109.0,125.0
1.9665,162.0,157.0,109.0,125.0
1.998,161.0,159.0,109.0,125.0
2.0452,157.0,159.0,90.0,125.0
2.075,175.0,159.0,90.0,125.0
2.1057,167.0,162.0,90.0,125.0
2.154,182.0,169.0,90.0,125.0
2.1826,172.0,171.0,90.0,125.0
2.2144,175.0,172.0,90.0,125.0
2.262,180.0,174.0,90.0,125.0
2.2905,182.0,177.0,90.0,125.0
2.3208,205.0,179.0,90.0,125.0
2.3705,185.0,182.0,90.0,125.0
2.399,175.0,184.0,90.0,125.0
2.4293,232.0,184.0,90.0,125.0
2.4882,185.0,184.0,90.0,125.0
2.5065,179.0,184.0,90.0,125.0
2.5366,175.0,180.0,90.0,125.0
2.5955,241.0,179.0,90.0,125.0
2.6146,177.0,177.0,90.0,125.0
2.6455,214.0,184.0,90.0,125.0
2.6794,185.0,184.0,90.0,125.0
2.7235,175.0,184.0,90.0,125.0
2.7545,205.0,184.0,90.0,125.0
2.7875,185.0,184.0,90.0,125.0
2.8311,184.0,184.0,90.0,125.0
2.8629,205.0,184.0,90.0,125.0
2.896,179.0,184.0,110.0,125.0
2.9416,182.0,182.0,110.0,125.0
2.9723,180.0,180.0,110.0,125.0
3.0044,185.0,180.0,110.0,125.0
3.0499,196.0,182.0,110.0,125.0
3.0806,179.0,184.0,110.0,125.0
3.1127,180.0,182.0,110.0,125.0
3.1566,175.0,180.0,110.0,125.0
3.1877,182.0,180.0,110.0,125.0
3.2205,184.0,180.0,110.0,125.0
3.2662,177.0,180.0,110.0,125.0
3.2956,182.0,180.0,110.0,125.0
3.3281,179.0,179.0,110.0,125.0
3.3735,172.0,179.0,110.0,125.0
3.4047,175.0,177.0,110.0,125.0
3.4366,196.0,175.0,110.0,125.0
3.4826,179.0,177.0,110.0,125.0
3.514,180.0,179.0,110.0,125.0
3.5451,185.0,179.0,110.0,125.0
3.5815,172.0,179.0,110.0,125.0
3.623,180.0,179.0,110.0,125.0
3.6539,177.0,177.0,110.0,125.0
3.6985,182.0,179.0,110.0,125.0
3.7315,180.0,179.0,110.0,125.0
3.7643,172.0,179.0,88.0,125.0
3.8018,179.0,179.0,88.0,125.0
3.8415,205.0,179.0,88.0,125.0
3.8722,180.0,179.0,88.0,125.0
3.9088,179.0,179.0,88.0,125.0
3.9492,185.0,179.0,88.0,125.0
3.9792,174.0,179.0,88.0,125.0
4.0165,196.0,182.0,88.0,125.0
4.0585,187.0,184.0,88.0,125.0
4.0894,180.0,185.0,88.0,125.0
4.1261,180.0,182.0,88.0,125.0
4.1663,184.0,180.0,88.0,125.0
4.1977,187.0,182.0,88.0,125.0
4.236,214.0,184.0,88.0,125.0
4.2749,184.0,185.0,88.0,125.0
4.3065,185.0,185.0,88.0,125.0
4.3427,179.0,184.0,88.0,125.0
4.3837,179.0,180.0,88.0,125.0
4.4144,185.0,179.0,88.0,125.0
4.4518,185.0,182.0,88.0,125.0
4.4932,179.0,184.0,88.0,125.0
4.5232,185.0,184.0,88.0,125.0
4.5621,205.0,184.0,88.0,125.0
4.6001,180.0,184.0,88.0,125.0
4.6313,166.0,182.0,106.0,125.0
4.6763,179.0,180.0,106.0,125.0
4.7002,177.0,179.0,106.0,125.0
4.7405,172.0,177.0,106.0,125.0
4.7839,169.0,174.0,106.0,125.0
4.8064,169.0,171.0,106.0,125.0
4.8479,167.0,169.0,106.0,125.0
4.8937,161.0,167.0,106.0,125.0
4.9162,154.0,164.0,106.0,125.0
4.9557,152.0,159.0,106.0,125.0
4.9986,144.0,156.0,106.0,125.0
5.0213,151.0,152.0,106.0,125.0
5.0642,143.0,148.0,106.0,125.0
5.1073,138.0,144.0,106.0,125.0
5.1301,144.0,143.0,106.0,125.0
5.1713,139.0,141.0,106.0,125.0
5.2162,141.0,141.0,106.0,125.0
5.2407,134.0,139.0,106.0,125.0
5.28,131.0,136.0,106.0,125.0
5.3241,133.0,134.0,106.0,125.0
5.3469,126.0,133.0,106.0,125.0
5.3907,128.0,129.0,93.0,125.0
5.4346,122.0,128.0,93.0,125.0
5.4579,128.0,128.0,93.0,125.0
5.4988,126.0,126.0,93.0,125.0
5.5427,123.0,126.0,93.0,125.0
5.5655,129.0,126.0,93.0,125.0
5.6078,128.0,126.0,93.0,125.0
5.6517,123.0,126.0,93.0,125.0
5.6741,123.0,124.0,93.0,125.0
5.7156,125.0,123.0,93.0,125.0
5.7597,124.0,123.0,93.0,125.0
5.7813,126.0,124.0,93.0,125.0
5.8102,123.0,124.0,93.0,125.0
5.871,123.0,123.0,93.0,125.0
5.8936,122.0,123.0,93.0,125.0
5.9198,120.0,122.0,93.0,125.0
5.9793,120.0,121.0,93.0,125.0
6.0017,119.0,120.0,93.0,125.0
6.0275,120.0,120.0,93.0,125.0
6.0882,117.0,120.0,93.0,125.0
6.1118,119.0,119.0,108.0,125.0
6.1367,115.0,118.0,108.0,125.0
6.1976,116.0,117.0,108.0,125.0
6.2204,116.0,116.0,108.0,125.0
6.246,115.0,116.0,108.0,125.0
6.2794,114.0,115.0,108.0,125.0
6.3281,113.0,115.0,108.0,125.0
6.3565,116.0,114.0,108.0,125.0
6.3877,117.0,115.0,108.0,125.0
6.4383,116.0,115.0,108.0,125.0
6.4652,120.0,116.0,108.0,125.0
6.4958,120.0,118.0,108.0,125.0
6.5344,121.0,119.0,108.0,125.0
6.5734,122.0,120.0,108.0,125.0
6.6052,125.0,120.0,108.0,125.0
6.6555,125.0,122.0,108.0,125.0
6.6811,128.0,123.0,108.0,125.0
6.7143,138.0,125.0,108.0,125.0
6.7517,136.0,129.0,108.0,125.0
6.7916,141.0,133.0,108.0,125.0
6.8222,146.0,136.0,108.0,125.0
6.8604,146.0,141.0,108.0,125.0
6.8991,156.0,143.0,108.0,125.0
6.9308,156.0,149.0,89.0,125.0
6.9714,164.0,152.0,89.0,125.0
7.0074,159.0,156.0,89.0,125.0
7.0382,166.0,159.0,89.0,125.0
7.0789,162.0,161.0,89.0,125.0
7.1156,164.0,162.0,89.0,125.0
7.1461,174.0,162.0,89.0,125.0
7.1914,180.0,167.0,89.0,125.0
7.2235,179.0,172.0,89.0,125.0
7.2546,180.0,175.0,89.0,125.0
7.3,182.0,177.0,89.0,125.0
7.3326,175.0,179.0,89.0,125.0
7.3634,175.0,177.0,89.0,125.0
7.4058,185.0,175.0,89.0,125.0
7.4431,184.0,179.0,89.0,125.0
7.4734,179.0,180.0,89.0,125.0
7.5176,185.0,182.0,89.0,125.0
7.552,214.0,184.0,89.0,125.0
7.5838,223.0,187.0,89.0,125.0
7.6266,185.0,196.0,89.0,125.0
7.6478,205.0,196.0,89.0,125.0
7.6927,196.0,196.0,89.0,125.0
7.7348,174.0,196.0,110.0,125.0
7.7554,179.0,184.0,110.0,125.0
7.8006,177.0,180.0,110.0,125.0
7.8438,179.0,179.0,110.0,125.0
7.8635,171.0,177.0,110.0,125.0
7.9077,180.0,177.0,110.0,125.0
7.9508,177.0,177.0,110.0,125.0
7.9714,182.0,179.0,110.0,125.0
8.0156,182.0,180.0,110.0,125.0
8.0633,182.0,180.0,110.0,125.0
8.0794,174.0,180.0,110.0,125.0
8.125,171.0,177.0,110.0,125.0
8.1678,177.0,175.0,110.0,125.0
8.1869,180.0,175.0,110.0,125.0
8.2337,177.0,175.0,110.0,125.0
8.2775,187.0,177.0,110.0,125.0
8.2956,171.0,177.0,110.0,125.0
8.3426,172.0,174.0,110.0,125.0
8.385,179.0,172.0,110.0,125.0
8.4035,175.0,174.0,110.0,125.0
8.4499,182.0,175.0,110.0,125.0
8.4937,177.0,175.0,110.0,125.0
8.5121,177.0,175.0,110.0,125.0
8.5596,179.0,175.0,110.0,125.0
8.6031,177.0,175.0,110.0,125.0
8.6208,196.0,177.0,88.0,125.0
8.6683,184.0,180.0,88.0,125.0
8.7118,180.0,182.0,88.0,125.0
8.7308,179.0,180.0,88.0,125.0
8.7633,187.0,180.0,88.0,125.0
8.8221,180.0,180.0,88.0,125.0
8.8398,184.0,182.0,88.0,125.0
8.8712,214.0,182.0,88.0,125.0
8.9296,205.0,185.0,88.0,125.0
8.9476,196.0,187.0,88.0,125.0
8.9797,214.0,196.0,88.0,125.0
9.0385,185.0,196.0,88.0,125.0
9.0559,185.0,187.0,88.0,125.0
9.0875,214.0,185.0,88.0,125.0
9.1479,196.0,187.0,88.0,125.0
9.1656,205.0,196.0,88.0,125.0
9.1961,180.0,196.0,88.0,125.0
9.2576,205.0,196.0,88.0,125.0
9.2745,196.0,196.0,88.0,125.0
9.3059,223.0,196.0,88.0,125.0
9.3647,182.0,196.0,88.0,125.0
9.3814,205.0,196.0,88.0,125.0
9.4149,196.0,196.0,88.0,125.0
9.448,185.0,196.0,88.0,125.0
9.4898,232.0,196.0,88.0,125.0
9.5219,223.0,205.0,88.0,125.0
9.5685,184.0,214.0,88.0,125.0
9.6012,180.0,187.0,106.0,125.0
9.6317,184.0,185.0,106.0,125.0
9.6634,182.0,184.0,106.0,125.0
9.7095,182.0,182.0,106.0,125.0
9.74,174.0,182.0,106.0,125.0
9.7714,182.0,182.0,106.0,125.0
9.831,180.0,180.0,106.0,125.0
9.8491,174.0,180.0,106.0,125.0
9.8806,182.0,180.0,106.0,125.0
9.9386,177.0,179.0,106.0,125.0
9.9576,185.0,180.0,106.0,125.0
9.9883,177.0,179.0,106.0,125.0
10.0477,182.0,180.0,106.0,125.0
10.0664,180.0,180.0,106.0,125.0
10.0976,182.0,180.0,106.0,125.0
10.1417,180.0,180.0,106.0,125.0
10.1759,174.0,180.0,106.0,125.0
10.2065,177.0,179.0,106.0,125.0
10.2502,179.0,177.0,106.0,125.0
10.2845,182.0,177.0,106.0,125.0
