time,distance,filtered,control,setpoint
0.0,127.0,125.0,100.0,125.0
0.036,124.0,126.0,100.0,125.0
0.072,127.0,126.0,100.0,125.0
0.108,124.0,125.0,100.0,125.0
0.144,130.0,126.0,100.0,125.0
0.18,125.0,125.0,100.0,125.0
0.216,122.0,125.0,100.0,125.0
0.252,125.0,125.0,100.0,125.0
0.288,124.0,124.0,100.0,125.0
0.324,124.0,124.0,100.0,125.0
0.36,125.0,124.0,100.0,125.0
0.396,125.0,124.0,100.0,125.0
0.432,129.0,124.0,100.0,125.0
0.468,126.0,125.0,100.0,125.0
0.504,126.0,125.0,100.0,125.0
0.54,126.0,125.0,100.0,125.0
0.576,125.0,125.0,100.0,125.0
0.612,123.0,125.0,100.0,125.0
0.648,130.0,125.0,100.0,125.0
0.684,124.0,124.0,100.0,125.0
0.72,124.0,124.0,100.0,125.0
0.756,125.0,124.0,100.0,125.0
0.792,125.0,124.0,100.0,125.0
0.828,122.0,124.0,100.0,125.0
0.864,125.0,124.0,100.0,125.0
0.9,124.0,124.0,100.0,125.0
0.936,126.0,124.0,100.0,125.0
0.972,124.0,124.0,100.0,125.0
1.008,122.0,124.0,100.0,125.0
1.044,125.0,124.0,100.0,125.0
1.08,132.0,124.0,100.0,125.0
1.116,126.0,125.0,100.0,125.0
1.152,122.0,125.0,100.0,125.0
1.188,129.0,125.0,94.0,125.0
1.224,125.0,125.0,94.0,125.0
1.26,127.0,126.0,94.0,125.0
1.296,132.0,126.0,94.0,125.0
1.332,130.0,127.0,94.0,125.0
1.368,132.0,129.0,94.0,125.0
1.404,132.0,130.0,94.0,125.0
1.44,132.0,130.0,94.0,125.0
1.476,125.0,130.0,94.0,125.0
1.512,127.0,129.0,94.0,125.0
1.548,126.0,127.0,94.0,125.0
1.584,127.0,127.0,94.0,125.0
1.62,125.0,126.0,94.0,125.0
1.656,127.0,126.0,94.0,125.0
1.692,125.0,125.0,94.0,125.0
1.728,126.0,125.0,94.0,125.0
1.764,123.0,125.0,94.0,125.0
1.8,123.0,124.0,94.0,125.0
1.836,126.0,123.0,105.0,125.0
1.872,120.0,123.0,105.0,125.0
1.908,123.0,123.0,105.0,125.0
1.944,120.0,121.0,105.0,125.0
1.98,118.0,120.0,105.0,125.0
2.016,117.0,119.0,105.0,125.0
2.052,116.0,118.0,105.0,125.0
2.088,120.0,117.0,105.0,125.0
